month,"Cars total, SA","Cars total, SA (indexed: 100 = 2023 average)","All vehicles total, SA","All vehicles total, SA (indexed: 100 = 2023 average)","Cars domestic, SA","Cars exported, SA"
2019-01-01,113308.501207977,149.3933011759834,122077.3751048936,142.0842156086389,24839.8491946167,88303.0765115508
2019-02-01,112776.749849533,148.692205583015,120748.5596209152,140.5376251321688,24547.1730929679,91688.8862581434
2019-03-01,114642.035867595,151.1515200466686,122064.5426920103,142.06928013581,23665.5621657248,89163.058471765
2019-04-01,96057.691729005,126.6487114184045,100921.5441118668,117.4612283465819,21822.8097388231,68183.9786817149
2019-05-01,112392.254929616,148.185262460836,117244.458416215,136.4592488510986,22805.2548701318,94665.8376978023
2019-06-01,109307.293986854,144.1178492100663,113418.8622397117,132.0066888947035,20050.4172302461,86834.923751271
2019-07-01,110781.1530391,146.0610808911472,116185.0920835612,135.2262666192315,20426.516953169,88807.3329969909
2019-08-01,112645.889119953,148.5196702817991,119685.2497050119,139.3000530167773,24989.5177255618,93093.9808748941
2019-09-01,113000.154461939,148.986756761342,118583.2025078814,138.017395100571,18281.6345466264,89858.8865944827
2019-10-01,115798.143213052,152.6758072008567,123531.076418567,143.7761590232566,17810.467816492,103465.606603279
2019-11-01,100215.044827976,132.1300362703632,106944.5204739113,124.4712895581304,15996.9093739029,80669.0443906046
2019-12-01,91515.1789142091,120.6595669340823,99300.04599016545,115.5739884830539,15177.4368723077,80936.7418613718
2020-01-01,110487.773428547,145.674270121867,118342.8702205669,137.7376755825262,16913.058840435,92298.6074772985
2020-02-01,112631.071693687,148.500134022814,119372.4799771385,138.9360245355552,19195.4149329648,89352.7701271492
2020-03-01,63799.9530079848,84.11800962083905,68209.49063161647,79.38810909991079,16557.3070530118,52266.0125064133
2020-04-01,23757.5215227137,31.32346231924042,25537.60941251789,29.72288025344301,2329.44555703282,10127.5227744083
2020-05-01,10425.6268005582,13.74582478772162,13806.2738596259,16.06893652601453,5233.4954897781,4739.77842511216
2020-06-01,47957.7698946466,63.23064452550589,52702.92482770543,61.34022563961084,9171.78730643561,45815.971114841
2020-07-01,87437.0050341023,115.2826371166051,93125.13377666479,108.3870911767055,12120.2901628306,74101.2826533886
