week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
129,uk,critical_minerals_security,175,20,0.6365174893042389,7.919198685956854,0.5020708656468422,122.86343691654558,1.189135269548929,1.203957047705007,7.919198685956854,16.0,24.0,16.0,32.0,48.0,6.023028132947307,5.271815244661765,3.0466417661356253,8.046641766135616,6.046641766135635,2.046641766135626,1.0000122935473355,1.0000137129386508,1.000006128935498,1.0000154484592954,1.0000346092342656,1.0068397213657663,0.858862156106502,1.1819815054335006,1.230822335975057,1.087817814363952,1.193717957471745,1.0000827349609278,1.3273935145459568,1.002961062187833,1.259643439652915,714.5577729125253,0.046320830447214696,0.3731770524349094,371.61076850136357,125.36539106973015,2.463653782806428,7.939141789957735,7.939141789957735,7.939141789957735,7.939141789957735,compound_shock_minerals_policy
130,uk,critical_minerals_security,175,20,0.6402431318526026,7.96930446175926,0.5043637941592165,122.61829961858389,1.1902789391330346,1.2050745574488648,7.96930446175926,16.0,24.0,16.0,32.0,48.0,6.0244981886055315,5.282655651921336,3.046708727184548,8.046708727184539,6.046708727184558,2.0467087271845483,1.0000117940735964,1.000013142495346,1.000005937692351,1.0000147912399582,1.00003299397618,1.006827851336087,0.8578251551514708,1.1831945634269985,1.2323623201446103,1.0883870133480993,1.1948536174694568,1.000078755682148,1.3296576103921973,1.0029838735381,1.2613998830380402,714.5693256581753,0.046591200686749545,0.37296842927792984,371.62269172962795,125.26046033238296,2.3034162428558593,7.987330376129164,7.987330376129164,7.987330376129164,7.987330376129164,compound_shock_minerals_policy
131,uk,critical_minerals_security,175,20,0.6440001433106787,8.019741666736664,0.5066771490813486,122.3580009389121,1.1914206027089955,1.206190012903281,8.019741666736664,16.0,24.0,16.0,32.0,48.0,6.026256168156551,5.2935536316589555,3.046768481989717,8.046768481989709,6.0467684819897265,2.0467684819897176,1.0000113195735443,1.0000126005742065,1.000005756011361,1.000014166881588,1.0000314594809987,1.0068158688405757,0.8567894247965117,1.1844056619827439,1.2338997588622131,1.0889552337761528,1.1959872570128391,1.000074971986056,1.3319179763801228,1.0030066854071884,1.2631552486296422,714.5809451088259,0.046863840522721044,0.3727601184772078,371.63472117522304,125.14810603040962,2.1593297811177434,8.035827660288176,8.035827660288176,8.035827660288176,8.035827660288176,compound_shock_minerals_policy
132,uk,critical_minerals_security,175,20,0.6477887902080522,8.07051256693057,0.5090111197439061,122.08252143477151,1.1925602566224445,1.2073034096468462,8.07051256693057,16.0,24.0,16.0,32.0,48.0,6.028021990110799,5.304510031054463,3.0468209453480086,8.046820945348001,6.046820945348018,2.0468209453480095,1.0000108687984948,1.000012085749124,1.0000055834144208,1.0000135737411364,1.0000300017105765,1.0068037492774424,0.8557549625390926,1.185614795683452,1.2354346482478038,1.089522474842043,1.1971188722762398,1.0000713743640177,1.334174608694668,1.00302949779511,1.264909532567304,714.5926316663002,0.04713876913657978,0.3725521195931346,371.6468578226683,125.02831989882054,2.0297779541519083,8.08463570298273,8.08463570298273,8.08463570298273,8.08463570298273,compound_shock_minerals_policy
133,uk,critical_minerals_security,175,20,0.651609340841789,8.121619444247067,0.5113658966453697,121.79184229427685,1.1936978971504335,1.2084147421377334,8.121619444247067,16.0,24.0,16.0,32.0,48.0,6.030511819525575,5.315525706554648,3.0468660312866964,8.046866031286688,6.046866031286705,2.0468660312866973,1.0000104405621977,1.0000115966652954,1.0000054194473276,1.0000130102577074,1.0000286168286754,1.0067913284403787,0.8547217659292181,1.1868219592005478,1.2369669843844466,1.0900887297631479,1.1982484592623892,1.0000679537611903,1.3364275033943627,1.0030523107018767,1.2666627314114,714.6043857349289,0.04741600583506864,0.37234443218531454,371.65910266255594,124.901093997046,1.9133059557522283,8.133756578941702,8.133756578941702,8.133756578941702,8.133756578941702,compound_shock_minerals_policy
134,uk,critical_minerals_security,175,20,0.655462065284752,8.173064597066622,0.5137416714592153,121.48594533790822,1.1948335205176717,1.2095240065047386,8.173064597066622,16.0,24.0,16.0,32.0,48.0,6.032367120545778,5.326601523932547,3.0469036530552995,8.046903653055292,6.04690365305531,2.0469036530553004,1.0000100337377156,1.0000111320356584,1.000005263678589,1.0000124749484498,1.0000273011908694,1.0067786748635472,0.8536898325668356,1.1880271472850137,1.2384967633141701,1.0906539948719267,1.199376013986624,1.0000647015555646,1.3386766564102157,1.0030751241275002,1.268414841371387,714.6162077215657,0.04769557005078058,0.37213705581263834,371.67145669158793,124.76642070973743,1.808604453446456,8.183192377174604,8.183192377174604,8.183192377174604,8.183192377174604,compound_shock_minerals_policy
135,uk,critical_minerals_security,175,20,0.6593472353971515,8.224850339454221,0.5161386370331361,121.16481302090347,1.1959671229033013,1.2106311985785854,8.224850339454221,16.0,24.0,16.0,32.0,48.0,6.034223768372158,5.337738358347095,3.0469337231207594,8.04693372312075,6.04693372312077,2.04693372312076,1.0000096472544575,1.0000106906375033,1.0000051156982872,1.000011966404655,1.0000260513349537,1.0067658275294409,0.8526591600993736,1.189230354758738,1.2400239810340694,1.0912182681740068,1.2005015324458201,1.0000616095379158,1.340922063544604,1.0030979380719924,1.2701658584284399,714.6280980356042,0.04797748134295116,0.371929990033353,371.6839209125723,124.62429274795753,1.7144950413485789,8.232945201075996,8.232945201075996,8.232945201075996,8.232945201075996,compound_shock_minerals_policy
136,uk,critical_minerals_security,175,20,0.6632651248315891,8.276979001405387,0.5185569873894968,120.82842843539248,1.1970987004677718,1.2117363152441556,8.276979001405387,16.0,24.0,16.0,32.0,48.0,6.035310194130593,5.348937094402709,3.0469561531620597,8.04695615316205,6.04695615316207,2.04695615316206,1.0000092800953624,1.0000102713092558,1.0000049751170006,1.00001148328805,1.0000248639718337,1.0067529763605285,0.8516297462194062,1.1904315765063291,1.2415486334926495,1.0917815545769691,1.2016250107256536,1.0000586698926293,1.3431637204701647,1.0031207525353651,1.271915777887477,714.6400570889937,0.048261759397777,0.371723234405128,371.6964963344254,124.47470315025096,3.5426936565036424,8.283017168523381,8.283017168523381,8.283017168523381,8.283017168523381,compound_shock_minerals_policy
137,uk,critical_minerals_security,175,20,0.6672160090391527,8.329452928408726,0.5209969177217885,120.47677531297602,1.198228249305568,1.2128393500366434,8.329452928408726,16.0,24.0,16.0,32.0,48.0,6.037964697757038,5.360198626208914,3.046970854066845,8.046970854066835,6.046970854066855,2.0469708540668456,1.000008931294222,1.0000098729474207,1.0000048415647782,1.0000110243272753,1.0000237359768698,1.0067398752302028,0.8506015886624368,1.191630807467367,1.2430707165863875,1.0923438493600401,1.2027464446567526,1.0000558751793684,1.3454016227286925,1.00314356751763,1.273664595793302,714.6520852962558,0.04854842402881003,0.3715167884851183,371.7091839721533,124.31764528390651,3.2754151097229074,8.33341041197693,8.33341041197693,8.33341041197693,8.33341041197693,compound_shock_minerals_policy
138,uk,critical_minerals_security,175,20,0.6712001652722615,8.382274483254317,0.5234586244056395,120.10983802544152,1.199355765492414,1.2139403004872031,8.382274483254317,16.0,24.0,16.0,32.0,48.0,6.038722288863837,5.371523857439773,3.0469777359216788,8.04697773592167,6.046977735921689,2.046977735921679,1.0000085999331385,1.0000094945036775,1.000004714690167,1.0000105883145392,1.000022664381654,1.0067268215624015,0.849574685204795,1.1928280426290627,1.244590226156496,1.0929051588929788,1.2038658302397978,1.0000532183155513,1.3476357657300422,1.0031663830187987,1.2754123071531742,714.6641830745008,0.04883749517711476,0.371310651830024,371.7219848469093,124.15311284539966,3.034982251091401,8.38412707857549,8.38412707857549,8.38412707857549,8.38412707857549,compound_shock_minerals_policy
