week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,bottleneck_component,bottleneck_severity,cell_unmet_demand_gwh,tier1_unmet_demand_k,oem_unmet_demand_k,shortfall_packs_k,shortfall_inverters_k,shortfall_motors_k,shortfall_harness_k,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
221,uk,critical_minerals_security,175,20,0.7555293654635229,13.587597848740101,0.7938630279478456,46.30587021493531,1.3574778581546454,1.3745166391445625,13.587597848740101,2.4524327454238555,7.639604815368473,4.798199323107833,12.425395614083588,14.847397921897848,6.342322845647183,5.971094491114402,3.1087873894014697,8.108787389401467,6.108787389401475,2.1087873894014706,1.6222195441208593,1.3715292390322993,1.372963636562036,1.345775461646465,1.5183650176301937,1.004646970194952,0.9728316788454942,1.5187356093178361,1.4669150283268593,1.1347305922750917,1.362692390834837,1.5110927205775406,1.5151314872296562,1.0050618796815396,1.251616543816294,716.2772451252907,0.05484960924206247,0.47894537162118217,373.1280877453288,88.90508581588821,3.520670923649067,none,0.0,0.09696516617688775,0.0,0.0,0.0,0.0,0.0,0.0,13.635729586507505,13.635729586507505,13.635729586507505,13.635729586507505,sic_bottleneck_minerals_policy
222,uk,critical_minerals_security,175,20,0.7535986296317233,13.671436572890304,0.7985056684875212,44.84771099508879,1.3587840375562126,1.375856034111283,13.671436572890304,2.4312294602380065,7.633207111122232,4.782277815809044,12.415219324886385,14.826487969939716,6.347018803539433,5.967826271583671,3.1089617879970888,8.108961787997085,6.108961787997094,2.1089617879970897,1.627850581578145,1.3721839306006127,1.3752915438454898,1.3460542949429308,1.519145534840446,1.0046152463857017,0.9729592188472254,1.5201078593443376,1.4683181650370207,1.1352201647452445,1.3640087551624815,1.511736945718573,1.517086017166653,1.0050847388128077,1.2523549732552428,716.3009636220281,0.054707630913543706,0.4794344437219503,373.1522294761351,88.21171882550092,3.2498187159053304,none,0.0,0.09913134557775735,0.0,0.0,0.0,0.0,0.0,0.0,13.718384674830967,13.718384674830967,13.718384674830967,13.718384674830967,sic_bottleneck_minerals_policy
223,uk,critical_minerals_security,175,20,0.7517264597536174,13.755799530775837,0.8031840116850352,43.376614056428664,1.360092782107373,1.3771988066578085,13.755799530775837,2.4072524821096515,7.625238583153034,4.7673834498029395,12.406148880566395,14.803574925352297,6.352566842822766,5.964130846334205,3.1091317470967446,8.109131747096741,6.10913174709675,2.1091317470967454,1.6335029626607298,1.3728418216472993,1.377631146365653,1.3463445483626022,1.5199405862441253,1.0045835963738563,0.9730905112870353,1.5214866385382326,1.4697253949733882,1.1357100251084666,1.3653277603120142,1.5123932369606172,1.5190413604285553,1.005107598463984,1.253090972478848,716.3248480224433,0.05456990081399964,0.47992432868642787,373.17655686076216,87.51215761153635,3.0060681709778447,none,0.0,0.10129501613958393,0.0,0.0,0.0,0.0,0.0,0.0,13.801552520403122,13.801552520403122,13.801552520403122,13.801552520403122,sic_bottleneck_minerals_policy
224,uk,critical_minerals_security,175,20,0.7494316084950228,13.840689741302473,0.8078982840066388,41.892601417972884,1.3614041082841306,1.3785442871034879,13.840689741302473,2.3866223133826274,7.617620660083406,4.753555597052387,12.39653522636751,14.782714397954793,6.3577842930429,5.959979564582979,3.1092972247925004,8.109297224792499,6.109297224792506,2.109297224792501,1.6391661543902534,1.373504152122078,1.3799775445631142,1.3466462682108793,1.5207486951167875,1.0045520914974684,0.9732252251604038,1.5228720507050884,1.4711368716304767,1.1362002211693376,1.3666494129911615,1.5130616736131108,1.520997657546119,1.0051304586350802,1.2538247818367065,716.3488996335965,0.05440148461409528,0.48041501765766087,373.2010710768345,86.80641492555156,2.786708337995572,none,0.0,0.10354972658505927,0.0,0.0,0.0,0.0,0.0,0.0,13.885236336999972,13.885236336999972,13.885236336999972,13.885236336999972,sic_bottleneck_minerals_policy
225,uk,critical_minerals_security,175,20,0.7474133004908421,13.926110990590217,0.8126487132848976,40.395694796715574,1.3627180353438013,1.3798927189043824,13.926110990590217,2.3637047047934265,7.611481863355554,4.739961246736719,12.390073174869837,14.759965664152107,6.363570049945954,5.955387990279947,3.1094581771172725,8.109458177117272,6.109458177117278,2.1094581771172733,1.644846107824598,1.3741686609315786,1.3823276541404887,1.3469556685746393,1.5215707458093033,1.0045206068137407,0.9733632209214749,1.524264245098557,1.4725525985049834,1.1366907947056264,1.3679737435824837,1.5137423993888062,1.5229550490281156,1.0051533193261084,1.2545565221059833,716.3731197707423,0.05425314065100843,0.4809065045569017,373.2257733090815,86.09450337860183,2.589299368769642,none,0.0,0.10575958233537781,0.0,0.0,0.0,0.0,0.0,0.0,13.969439356418965,13.969439356418965,13.969439356418965,13.969439356418965,sic_bottleneck_minerals_policy
226,uk,critical_minerals_security,175,20,0.7451530080503497,14.012066856887076,0.8174355276825832,38.88591583651923,1.364034582652104,1.3812440266107984,14.012066856887076,2.341853784526235,7.607508894173165,4.725602250250695,12.381129462729765,14.738102660693096,6.368238561286336,5.950338877836084,3.109614558906494,8.109614558906495,6.109614558906499,2.1096145589064945,1.6505404966803479,1.374830126097095,1.3846823673856534,1.3472736441610038,1.522406095084249,1.004489409467769,0.9735042640630408,1.5256633288829267,1.4739726268634286,1.1371817973433358,1.3693007718853152,1.5144354950444416,1.5249136781275279,1.0051761805370802,1.2552863794955151,716.3975097592142,0.05408722935349345,0.48139878034402495,373.2506647439494,85.37643554771662,2.411645407644909,none,0.0,0.1080251833390572,0.0,0.0,0.0,0.0,0.0,0.0,14.054164834545437,14.054164834545437,14.054164834545437,14.054164834545437,sic_bottleneck_minerals_policy
227,uk,critical_minerals_security,175,20,0.7429098351085615,14.098561081466144,0.8222589563740859,37.363285950169754,1.3653537709536923,1.3825982946326134,14.098561081466144,2.319590531097333,7.607690146230788,4.711034161522757,12.37141848876001,14.714841643247752,6.374316601635555,5.944831358101348,3.1097663232756947,8.109766323275696,6.1097663232757,2.109766323275695,1.6562501609083173,1.3754782099122187,1.3870428023504557,1.3476013700563647,1.5232555608490925,1.0044582217726927,0.9736481356333337,1.5270694521357375,1.4753970597159591,1.1376732694353604,1.370630524160045,1.5151411003088138,1.5268736897537358,1.0051990422680075,1.2560145233321345,716.4220709335426,0.05392255905140693,0.4818918238427247,373.2757465731452,84.65222390216883,2.2517701922844786,none,0.0,0.11029634329389863,0.0,0.0,0.0,0.0,0.0,0.0,14.139416049655008,14.139416049655008,14.139416049655008,14.139416049655008,sic_bottleneck_minerals_policy
228,uk,critical_minerals_security,175,20,0.7405831025079308,14.185597404033983,0.8271192292522888,35.82782633650632,1.3666756242565208,1.3839556572379481,14.185597404033983,2.2968892322886716,7.6058703583856175,4.697515047446744,12.362594678635542,14.692035744786539,6.381884057491275,5.938858181598035,3.109913421714157,8.109913421714158,6.109913421714163,2.109913421714158,1.6619775911393107,1.376111946513302,1.3894063052902628,1.3479382334356553,1.5241188773329926,1.0044265234456882,0.9737946854474684,1.5284827433440988,1.4768259786138562,1.138165232896059,1.3719630374678353,1.5158593224707482,1.5288352309140154,1.0052219045189021,1.2567410826027783,716.4468046376376,0.053751822300177665,0.48238560395831365,373.3010199921119,83.92188080978482,2.1078950944092814,none,0.0,0.11259250491640697,0.0,0.0,0.0,0.0,0.0,0.0,14.22519630366807,14.22519630366807,14.22519630366807,14.22519630366807,sic_bottleneck_minerals_policy
229,uk,critical_minerals_security,175,20,0.7381164986624504,14.2731795130182,0.8320165762549597,34.279558042754104,1.3680001599464,1.3853156898486536,14.2731795130182,2.275892980334818,7.603673690803436,4.68491974676188,12.353738160232869,14.668938102758904,6.389238580595626,5.932408524731215,3.1100558043630246,8.110055804363025,6.1100558043630295,2.1100558043630255,1.6677156176042356,1.3767318362585756,1.3917688024419377,1.3482838261435026,1.5249959763837153,1.0043941863520895,0.9739434586601402,1.5299033236737136,1.4782594549373993,1.1386577078875209,1.3732983027059171,1.5165902547837855,1.530798451495864,1.0052447672897757,1.2574663988867836,716.4717122255137,0.053570932774477,0.48288008275286226,373.32648619652576,83.18541856292926,4.370486806696149,none,0.0,0.11492441506105594,0.0,0.0,0.0,0.0,0.0,0.0,14.311508922093319,14.311508922093319,14.311508922093319,14.311508922093319,sic_bottleneck_minerals_policy
230,uk,critical_minerals_security,175,20,0.735823196183198,14.361311571481671,0.8369512307146464,32.718501490579506,1.3693273876030598,1.3866782579437371,14.361311571481671,2.255644488802274,7.599454294894712,4.671542633231463,12.343588425883953,14.643481921258799,6.395996796878795,5.925491359987273,3.1101934183381155,8.110193418338117,6.11019341833812,2.1101934183381164,1.6734571381713488,1.3773422014495738,1.3941308511487667,1.348639300799039,1.5258888755470625,1.0043613656633743,0.9740939153902249,1.5313314210549103,1.4796976076742139,1.1391507223385502,1.3746362982296991,1.5173341444448476,1.5327635016624224,1.0052676305806403,1.2581908559595942,716.4967950582575,0.0534026201728023,0.48337522140497485,373.35214639971616,82.44284916730109,4.014763009800516,none,0.0,0.11723206639862041,0.0,0.0,0.0,0.0,0.0,0.0,14.39835725357612,14.39835725357612,14.39835725357612,14.39835725357612,sic_bottleneck_minerals_policy
