week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,bottleneck_component,bottleneck_severity,cell_unmet_demand_gwh,tier1_unmet_demand_k,oem_unmet_demand_k,shortfall_packs_k,shortfall_inverters_k,shortfall_motors_k,shortfall_harness_k,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
142,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8257007581715741,10.40375500855757,0.6019677946418628,58.26647206484917,1.2664491332097816,1.2815555734511004,10.40375500855757,4.375057525343101,8.128606819663231,5.799610393787707,12.339836657876809,15.610826864943894,6.047832597103615,5.42550614470963,3.0891203267738567,8.08912032677385,6.08912032677385,2.0891203267738563,1.2940785544279014,1.374573191982994,1.2961150267112118,1.406092004623813,1.5331700152544718,1.006559214609887,1.003551067615099,1.440651663072474,1.3776732156023903,1.0946544059472878,1.2710976558909635,1.5287496006268593,1.3549283912218095,1.0032576502127508,1.1653940390553703,715.2442084263365,0.06003046081196462,0.456065781657781,372.1302325321377,61.610355296025986,5.113095044831911,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.557655207839076,10.557655207839076,10.557655207839076,10.557655207839076,china_ree_restriction_full_policy
143,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8311689812811509,10.484158884771963,0.6060875025249942,57.0433561745674,1.2676113149658268,1.2827215168814035,10.484158884771963,4.355283990342621,8.12067635303929,5.783008774005641,12.340859453758686,15.601680765743339,6.050705200571495,5.438584006822813,3.089689104902226,8.08968910490222,6.089689104902219,2.0896891049022255,1.2962155951359766,1.3751054603954542,1.2973403553553629,1.405978005921118,1.53352707640902,1.0065417358473159,1.0028749392676621,1.4419646951275935,1.3790822277041743,1.095192049582635,1.2722600419900074,1.5291317986894322,1.357077992771026,1.003280468308617,1.1666412524311025,715.2645523968253,0.06042629525227914,0.4566502354613306,372.15165501313,60.450619527023164,4.491998492871507,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.637273956929013,10.637273956929013,10.637273956929013,10.637273956929013,china_ree_restriction_full_policy
144,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8366590332135461,10.565190046953578,0.6102543128896288,55.80258924338296,1.268773632173452,1.2838886321294627,10.565190046953578,4.334529940713389,8.109812194187457,5.767131363607212,12.342395108457405,15.592878314464182,6.054604516650777,5.451711207406416,3.090254939201507,8.090254939201504,6.090254939201501,2.090254939201507,1.2984017174180311,1.3756491082870346,1.298595115872391,1.4058669147536553,1.5338871642794663,1.0065233937996012,1.0022115714451272,1.443275240277568,1.3804894629267792,1.0957283411805474,1.2734229010039528,1.5295122279366349,1.359222539888923,1.003303286923458,1.1678800042816755,715.2850592956538,0.06082368024007844,0.4572345991300052,372.17332242702605,59.27395737067926,3.96104078163563,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71751264032015,10.71751264032015,10.71751264032015,10.71751264032015,china_ree_restriction_full_policy
145,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8421379021441935,10.646853071704795,0.6144684984408233,54.54426406228784,1.26993616453179,1.2850568306158408,10.646853071704795,4.314366152661396,8.10388352327374,5.750415218593559,12.343145511954518,15.584661340848836,6.057732258739574,5.4648847194386905,3.090817803338344,8.09081780333834,6.090817803338338,2.0908178033383438,1.3006361915394753,1.3761991678881988,1.2998805166337897,1.4057601762201357,1.5342497062045848,1.0065042737273704,1.001561098228722,1.4445834031697602,1.381894881371798,1.0962632625764008,1.2745862939651416,1.5298912261980708,1.3613620304546084,1.0033261060572856,1.169110211486388,715.3057307176825,0.06122021540014978,0.45781889608091125,372.19523619189226,58.08046581344867,3.5071483783479116,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.798376097341293,10.798376097341293,10.798376097341293,10.798376097341293,china_ree_restriction_full_policy
146,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8476652968161148,10.729152672875111,0.6187303338360141,53.26847290388693,1.2710989869377638,1.2862261199303224,10.729152672875111,4.2937413960863555,8.093437034781223,5.734404478918526,12.344899341909862,15.57514746817832,6.0607763351797495,5.478105274445976,3.091377671573911,8.091377671573905,6.0913776715739045,2.0913776715739107,1.3029195929856763,1.3767600316957085,1.3011953467877377,1.4056548662107065,1.5346153980335946,1.0064844931508061,1.000923653249111,1.4458893144017029,1.3832983375202965,1.09679680206095,1.2757502765616597,1.5302691599449127,1.3634964626365849,1.0033489257101118,1.1703317971120408,715.3265682791815,0.06162024086491743,0.4584031536248886,372.21739773594726,56.87024135343531,3.119143464906618,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.879869201889711,10.879869201889711,10.879869201889711,10.879869201889711,china_ree_restriction_full_policy
147,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8532098706791572,10.812093604437159,0.6230400958980802,51.97530751231153,1.2722621765647788,1.2873968616734488,10.812093604437159,4.272676302753031,8.082338302749939,5.71800840116368,12.343621325179855,15.565528699645947,6.061857567818022,5.491371603021462,3.09193451874809,8.091934518748086,6.091934518748084,2.0919345187480896,1.3052530883701607,1.3773346913526958,1.3025395276041742,1.4055597401804742,1.5349846146760069,1.0064649585506253,1.0002994744658509,1.4471931097972435,1.3847000345293423,1.0973289820573529,1.2769149350728386,1.5306463963234003,1.365625835000509,1.0033717458819482,1.171544583174786,715.3475736181828,0.0620214772672131,0.4589874047829558,372.23980849867,55.643379993584,6.3185341273223585,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.961996863726107,10.961996863726107,10.961996863726107,10.961996863726107,china_ree_restriction_full_policy
148,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8587651530651862,10.895680488506503,0.6273980618906968,50.66485926839088,1.273425817152257,1.2885693793661552,10.895680488506503,4.250855084439085,8.070084369046919,5.699858066936713,12.343403347677508,15.55499791702106,6.064709659963253,5.504682008117922,3.092488320903686,8.092488320903682,6.09248832090368,2.0924883209036858,1.3076390482604447,1.3779261884771792,1.3039164544143373,1.4054746824414819,1.5353581978221362,1.0064453300187328,0.9996889478675565,1.4484949556691542,1.3861001472182974,1.0978598102124466,1.2780803795021702,1.5310233404432991,1.3677501466298485,1.0033945665728068,1.1727483004924413,715.3687483966117,0.062423453721564874,0.4595716896708629,372.2624699218316,54.39997738031899,5.5230146274385,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04476402879304,11.04476402879304,11.04476402879304,11.04476402879304,china_ree_restriction_full_policy
149,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8641653562615665,10.979917823683255,0.6318045082188409,49.337219319949114,1.274589997113487,1.2897437540645365,10.979917823683255,4.228103581639976,8.05992259717152,5.682192024790479,12.344283956525993,15.54505630133138,6.06734121553732,5.518024287939187,3.0930390558744345,8.093039055874431,6.093039055874428,2.0930390558744345,1.3100809398285442,1.3785325734914506,1.305326428593649,1.4053954624616374,1.5357360353595673,1.0064255552084027,0.9990924645430397,1.4497949939688837,1.3874986717781574,1.0983892921972696,1.279246716958407,1.5314003560366005,1.3698693988848678,1.003417387782699,1.1739426975855642,715.3900969598012,0.06281411878158345,0.4601560517424643,372.28538344273795,53.14012891384867,4.842908816568403,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.128175677808798,11.128175677808798,11.128175677808798,11.128175677808798,china_ree_restriction_full_policy
150,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8687294262650913,11.06481015585862,0.6362597106851808,47.99247852130343,1.2757548070644622,1.2909200160579595,11.06481015585862,4.206618990149255,8.050860641822062,5.662849174570637,12.344534395997071,15.532697099022066,6.069517981964536,5.5313431446527,3.0935867032336084,8.093586703233607,6.093586703233602,2.093586703233608,1.3125763391277123,1.3791510104749443,1.306772864041638,1.4053219927624638,1.5361198950464723,1.0064058089709065,0.9985102890662116,1.4510934554703134,1.3888956120490226,1.0989174431286275,1.2804140468683622,1.5317779191573904,1.3719836032347335,1.003440209511637,1.1751276037931435,715.4116235510712,0.06314397009871885,0.4607405341433326,372.30855049556294,51.86392969160822,4.261478572932458,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.212236824948173,11.212236824948173,11.212236824948173,11.212236824948173,china_ree_restriction_full_policy
151,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.8729567457758544,11.150362183289241,0.6407639451422602,46.63072727163236,1.2769203425167872,1.2920984214456135,11.150362183289241,4.183085563607027,8.040310276270247,5.645114014343282,12.344758413306943,15.52210691543833,6.073077324614672,5.544614848191932,3.0941312438537762,8.094131243853774,6.09413124385377,2.0941312438537762,1.3151296656082494,1.3797822478019697,1.308253607417057,1.4052540348565181,1.5365091709175072,1.0063856034841152,0.9979427532721612,1.4523905177194645,1.390290972434782,1.0994442624117382,1.2815824843260875,1.5321564192981998,1.3740927800018095,1.0034630317596327,1.1763028159568147,715.4333299212872,0.06344930950496631,0.4613251804168695,372.33197251473973,50.57147435666144,3.764412856068138,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.296952518238411,11.296952518238411,11.296952518238411,11.296952518238411,china_ree_restriction_full_policy
