week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
139,uk,none,175,20,0.6753752937348603,8.434358353202288,0.5259260234605903,119.75389269600245,1.200456642527825,1.2150049778282455,8.434358353202288,16.0,24.0,16.0,32.0,48.0,6.042136539413924,5.383651179700285,3.0472260232699697,8.047226023269962,6.0472260232699755,2.0472260232699697,1.0000170149619771,1.000025188294662,1.0000170077291484,1.000033132228696,1.0000504831008026,1.006713393171997,0.8485576661347057,1.1940166660315308,1.2460831462864088,1.0934524103884113,1.204955415193968,1.0001228154396935,1.349816375960327,1.0031891990388835,1.2771271159029134,714.6773871739124,0.04914037564989672,0.37139556281643465,371.7348153219951,123.99714025655969,2.819441245376676,8.434120641078623,8.434120641078623,8.434120641078623,8.434120641078623,compound_shock
140,uk,none,175,20,0.6794278730047321,8.487875147583958,0.5284314029694962,119.35718714011989,1.201579311783569,1.216101151319731,8.487875147583958,16.0,24.0,16.0,32.0,48.0,6.044069756122064,5.395120500677556,3.0472171406947393,8.04721714069473,6.0472171406947455,2.047217140694739,1.000016279417506,1.0000240440835566,1.0000162725463186,1.0000315908208888,1.0000480741493902,1.006699704228887,0.8475328232417659,1.1952084668109086,1.2475964660167895,1.0940115642967136,1.2060699888065445,1.0001168361364692,1.3520423584885815,1.0032120155778959,1.2788726114822717,714.6896318503191,0.04943439476626611,0.3711896235312837,371.7478432954414,123.81805962868691,2.6248292001293594,8.485483958331923,8.485483958331923,8.485483958331923,8.485483958331923,compound_shock
141,uk,none,175,20,0.6835145724358357,8.541746685465455,0.530959148250755,118.94515434649284,1.202699951989532,1.2171952288749488,8.541746685465455,16.0,24.0,16.0,32.0,48.0,6.045986118819491,5.406656381239933,3.047200166323572,8.047200166323563,6.047200166323578,2.0472001663235715,1.0000155806502584,1.0000229570830066,1.0000155741226304,1.0000301264834721,1.0000457856455485,1.0066858300529087,0.8465092505427773,1.1963983087147074,1.2491072259668303,1.094569715810914,1.2071825128133848,1.0001111520971955,1.3542645630853882,1.0032348326358478,1.28061697087283,714.7019474042551,0.04973088137754785,0.3709839919946563,371.7609875709039,123.6314874263446,2.449792086946749,8.537177184747122,8.537177184747122,8.537177184747122,8.537177184747122,compound_shock
142,uk,none,175,20,0.6876356768237037,8.595975395756147,0.5335094605912445,118.51778123151755,1.2038185580323961,1.2182872067180575,8.595975395756147,16.0,24.0,16.0,32.0,48.0,6.047043897960461,5.418259764446975,3.047175007077645,8.047175007077636,6.047175007077651,2.047175007077645,1.0000149168213732,1.000021924432484,1.0000149106201266,1.0000287353629262,1.0000436115668987,1.006671991482983,0.8454869448066845,1.1975861841449478,1.2506154202428923,1.095126871259958,1.2082929822038522,1.0001057488547718,1.3564829846033875,1.0032576502127508,1.2823601894617818,714.7143342637042,0.05002985595870183,0.3707786678029572,371.77424919507445,123.4374186560915,2.2923710168245797,8.589202526752633,8.589202526752633,8.589202526752633,8.589202526752633,compound_shock
143,uk,none,175,20,0.691791472802248,8.65056372336622,0.5360825424536286,118.07505536340125,1.2049351247800397,1.2193770778714728,8.65056372336622,16.0,24.0,16.0,32.0,48.0,6.049526192898639,5.429931603239584,3.047141569048726,8.047141569048716,6.047141569048731,2.0471415690487254,1.0000142861839323,1.0000209434144876,1.0000142802927479,1.0000274137984075,1.0000415461921814,1.00665799145354,0.8444659028930944,1.1987720856547244,1.2521210429558676,1.0956830289129993,1.2094013917706143,1.0001006126417646,1.3586976177577856,1.003280468308617,1.2841022632181096,714.7267928593211,0.050331339114633486,0.3705736505502944,371.78762922075884,123.2358486594363,2.1508029848220525,8.64156220598109,8.64156220598109,8.64156220598109,8.64156220598109,compound_shock
144,uk,none,175,20,0.6959822488463403,8.705514131042767,0.5386785974868349,117.6169649624143,1.2060496470385687,1.2204648347913092,8.705514131042767,16.0,24.0,16.0,32.0,48.0,6.052842437642771,5.4416728604996365,3.0470997574897565,8.047099757489747,6.047099757489762,2.0470997574897565,1.0000136870783634,1.000020011447391,1.0000136814817382,1.0000261583121148,1.0000395840862,1.0066435666700078,0.843446121747733,1.1999560059361076,1.2536240882151735,1.096238177557812,1.210507736072684,1.0000957303573195,1.360908457125301,1.003303286923458,1.285843188821941,714.7393236244484,0.050635351580327885,0.3703689398286278,371.80112870693154,123.02677311304441,2.023501281896096,8.694258459368264,8.694258459368264,8.694258459368264,8.694258459368264,compound_shock
145,uk,none,175,20,0.7002082952864681,8.760829099683445,0.541297830537596,117.14349890098985,1.2071621195638773,1.2215504719969683,8.760829099683445,16.0,24.0,16.0,32.0,48.0,6.055527241553678,5.4534845091101065,3.047049476804701,8.047049476804691,6.047049476804706,2.0470494768047005,1.000013117928073,1.000019126078649,1.000013112611279,1.0000249656001368,1.0000377200855177,1.0066287384893027,0.842427598398135,1.2011379378086486,1.255124550123047,1.096792307881465,1.2116120096651124,1.0000910895355752,1.3631154971431205,1.0033261060572856,1.2875829626771678,714.7519269951337,0.05094191422186154,0.37016453522791043,371.8147487187955,122.81018802887651,1.9090378655517495,8.747293539266376,8.747293539266376,8.747293539266376,8.747293539266376,compound_shock
146,uk,none,175,20,0.7044699043242996,8.816511127231854,0.5439404476507955,116.65464670510563,1.208272537071856,1.222633984051687,8.816511127231854,16.0,24.0,16.0,32.0,48.0,6.058141263290464,5.465367532015757,3.0469906305429175,8.046990630542908,6.046990630542922,2.046990630542917,1.000012577235297,1.0000182849783443,1.0000125721843427,1.0000238325237576,1.0000359492848696,1.0066135439205652,0.8414103299495529,1.2023178742084535,1.2566224227691198,1.0973454128013114,1.2127142071037698,1.000086678315519,1.365318732107866,1.0033489257101118,1.289321580883675,714.7646034101479,0.051251048037479645,0.3699604363362224,371.82849032778415,122.58608975488208,1.8061274934288227,8.80066971355972,8.80066971355972,8.80066971355972,8.80066971355972,compound_shock
147,uk,none,175,20,0.7087673700390887,8.872562728752117,0.5466066560692128,116.15039855559652,1.2093808942936362,1.2237153678736454,8.872562728752117,16.0,24.0,16.0,32.0,48.0,6.059160281195836,5.477322922283836,3.0469231213936574,8.046923121393647,6.046923121393662,2.046923121393657,1.0000120635771599,1.0000174859330548,1.0000120587787533,1.0000227561011974,1.000034267024254,1.0065983440244626,0.840394313581076,1.2034958081777967,1.2581177002252542,1.0978974988586092,1.2138143231807574,1.0000824854122177,1.3675181561745684,1.0033717458819482,1.291059038238947,714.7773533110019,0.051562774158006225,0.36975664273989806,371.8423546115599,122.35447497565382,1.7136134435310901,8.854389265771262,8.854389265771262,8.854389265771262,8.854389265771262,compound_shock
148,uk,none,175,20,0.713100988393626,8.928986435246847,0.5492966642235645,115.63074529064527,1.2104871859402946,1.2247946166424644,8.928986435246847,16.0,24.0,16.0,32.0,48.0,6.06161338243007,5.4893516831647435,3.0468468511853466,8.046846851185338,6.046846851185352,2.046846851185346,1.0000115756019297,1.0000167268400297,1.0000115710434434,1.0000217334997652,1.000032668876669,1.0065830116928185,0.8393795465419464,1.2046717328552397,1.2596103765406237,1.0984485670049438,1.214912352526928,1.0000785000893737,1.369713763355648,1.0033945665728068,1.2927953299216608,714.7901771419648,0.05187711384722041,0.369553154023647,371.85634265396254,122.11534071359627,1.6304546624352232,8.90845449516964,8.90845449516964,8.90845449516964,8.90845449516964,compound_shock
